"TRÁFICO DE PASAJEROS, OPERACIONES Y CARGA EN LA RED DE AENA",,,,,,,,,,,,,,
,,Dirección de Operaciones y Red de Aeropuertos,,,,Datos Definitivos,,,,,,,,AÑO 2024
,,Departamento de Estadísticas,,,,,,,,,,,,LLEGADAS Y SALIDAS
,,,,,,,,,,,,,,
,,PASAJEROS,,,,,OPERACIONES,,,,,MERCANCÍA,,
,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019,,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019,,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019
,,,,,,,,,,,,,,
,ADOLFO SUÁREZ MADRID-BARAJAS,66.197.066,"9,9%","7,2%",,ADOLFO SUÁREZ MADRID-BARAJAS,420.182,"8,0%","-1,5%",,ADOLFO SUÁREZ MADRID-BARAJAS,766.906.712,"19,2%","36,9%"
,BARCELONA-EL PRAT J.T.,55.037.892,"10,3%","4,5%",,BARCELONA-EL PRAT J.T.,347.978,"9,1%","1,0%",,BARCELONA-EL PRAT J.T.,181.723.353,"16,1%","2,8%"
,PALMA DE MALLORCA,33.298.379,"7,0%","12,0%",,PALMA DE MALLORCA,243.201,"6,2%","12,0%",,ZARAGOZA,181.353.196,"39,7%","-0,7%"
,MÁLAGA-COSTA DEL SOL,24.924.219,"11,5%","25,5%",,MÁLAGA-COSTA DEL SOL,174.919,"8,2%","20,7%",,VITORIA,70.500.062,"-1,7%","9,4%"
,ALICANTE-ELCHE MIGUEL HDEZ.,18.388.543,"16,8%","22,2%",,GRAN CANARIA,140.462,"8,4%","11,1%",,GRAN CANARIA,18.413.262,"7,6%","-6,7%"
,GRAN CANARIA,15.219.843,"9,0%","14,8%",,ALICANTE-ELCHE MIGUEL HDEZ.,116.270,"15,6%","14,7%",,VALENCIA,12.892.782,"-5,7%","-11,2%"
,TENERIFE SUR,13.741.355,"11,4%","23,0%",,TENERIFE SUR,90.508,"8,3%","28,8%",,TENERIFE NORTE-C. LA LAGUNA,12.861.878,"11,3%","2,1%"
,VALENCIA,10.811.963,"8,7%","26,6%",,VALENCIA,87.500,"6,4%","12,6%",,SEVILLA,10.955.009,"0,4%","10,7%"
,SEVILLA,9.175.759,"13,7%","21,6%",,IBIZA,83.049,"0,3%","10,2%",,PALMA DE MALLORCA,6.758.092,"-5,9%","-25,1%"
,IBIZA,9.073.223,"1,6%","11,3%",,TENERIFE NORTE-C. LA LAGUNA,82.063,"9,1%","8,9%",,SANTIAGO-ROSALÍA DE CASTRO,5.020.688,"4,2%","56,8%"
,LANZAROTE CÉSAR MANRIQUE,8.714.439,"6,1%","19,5%",,LANZAROTE CÉSAR MANRIQUE,71.608,"5,1%","18,3%",,ALICANTE-ELCHE MIGUEL HDEZ.,4.247.917,"-4,8%","5,3%"
,BILBAO,6.777.645,"7,0%","14,8%",,SEVILLA,71.440,"10,3%","11,4%",,MÁLAGA-COSTA DEL SOL,3.588.580,"27,9%","16,5%"
,TENERIFE NORTE-C. LA LAGUNA,6.765.619,"10,5%","15,9%",,MADRID-CUATRO VIENTOS,63.910,"12,8%","23,0%",,BILBAO,927.558,"23,5%","-5,3%"
,FUERTEVENTURA,6.445.952,"7,1%","14,4%",,SABADELL,58.695,"22,0%","15,9%",,IBIZA,867.779,"-12,6%","-39,5%"
,MENORCA,4.172.691,"3,2%","19,4%",,BILBAO,52.539,"2,1%","1,8%",,TENERIFE SUR,775.481,"-1,6%","-64,6%"
,SANTIAGO-ROSALÍA DE CASTRO,3.640.519,"2,9%","25,4%",,JEREZ DE LA FRONTERA,52.527,"7,2%","-3,6%",,MENORCA,596.116,"-13,4%","-51,9%"
,GIRONA-COSTA BRAVA,1.998.021,"25,9%","3,4%",,FUERTEVENTURA,52.033,"5,6%","10,2%",,LANZAROTE CÉSAR MANRIQUE,507.593,"-2,7%","-64,6%"
,ASTURIAS,1.993.063,"0,9%","40,6%",,MENORCA,36.949,"3,6%","16,9%",,FUERTEVENTURA,348.674,"-6,1%","-52,6%"
,LA PALMA,1.496.133,"9,3%","0,8%",,SANTIAGO-ROSALÍA DE CASTRO,26.969,"4,1%","20,4%",,LA PALMA,319.672,"14,1%","-31,4%"
,A CORUÑA,1.237.570,"-1,2%","-8,5%",,LA PALMA,24.381,"5,1%","7,8%",,VIGO,314.885,"-61,0%","-41,8%"
,REUS,1.181.514,"13,0%","12,9%",,GIRONA-COSTA BRAVA,24.370,"19,4%","33,5%",,GIRONA-COSTA BRAVA,301.957,"-2,0%","286,0%"
,FGL GRANADA-JAÉN,1.133.554,"9,1%","-9,5%",,BURGOS,22.540,"1,7%","599,8%",,A CORUÑA,54.792,"-28,8%","-64,0%"
,SEVE BALLESTEROS-SANTANDER,1.095.398,"-11,8%","-6,8%",,REUS,21.921,"6,9%","24,0%",,EL HIERRO,53.015,"-8,8%","-25,0%"
,VIGO,1.058.529,"-6,8%","4,6%",,FGL GRANADA-JAÉN,18.444,"14,1%","26,9%",,MELILLA,31.934,"29,4%","-76,3%"
,JEREZ DE LA FRONTERA,949.726,"5,0%","-15,3%",,SON BONET,18.247,"7,7%","36,6%",,ASTURIAS,7.187,"-37,5%","-74,8%"
,AEROPUERTO INTL. REGIÓN MURCIA (**),909.821,"3,6%","-16,6%",,ASTURIAS,15.466,"1,2%","15,4%",,LA GOMERA,4.304,"-12,0%","128,9%"
,ALMERÍA,786.931,"1,5%","-19,7%",,CÓRDOBA,15.071,"10,6%","39,2%",,VALLADOLID,225,"-96,3%","-97,9%"
,ZARAGOZA,694.237,"1,2%","48,4%",,A CORUÑA,14.490,"-5,9%","-15,8%",,ALMERÍA,45,"-2,2%","-75,9%"
,MELILLA,507.987,"1,4%","16,9%",,VITORIA,13.857,"-2,3%","28,3%",,SEVE BALLESTEROS-SANTANDER,20,"-73,7%","-87,9%"
,SAN SEBASTIÁN,486.494,"0,8%","51,8%",,ALMERÍA,12.254,"3,7%","4,1%",,PAMPLONA,2,"-99,3%","-100,0%"
,EL HIERRO,322.182,"7,0%","19,8%",,SEVE BALLESTEROS-SANTANDER,11.724,"-6,9%","4,3%",,AEROPUERTO INTL. REGIÓN MURCIA (**),0,---,---
,VITORIA,263.869,"-14,9%","51,6%",,VIGO,11.515,"-22,5%","-0,1%",,ALBACETE,0,---,---
,PAMPLONA,220.394,"11,5%","-9,5%",,MELILLA,10.977,"2,1%","12,4%",,ALGECIRAS /HELIPUERTO,0,---,---
,VALLADOLID,192.038,"-9,4%","-22,9%",,ZARAGOZA,10.379,"6,8%","18,3%",,BADAJOZ,0,---,---
,LA GOMERA,120.707,"6,5%","55,6%",,LOGROÑO,8.781,"341,3%","518,4%",,BURGOS,0,---,"-100,0%"
,BADAJOZ,91.461,"14,0%","21,3%",,SALAMANCA,8.447,"2,4%","-16,6%",,CEUTA /HELIPUERTO,0,---,---
,CEUTA /HELIPUERTO,80.682,"-7,3%","12,6%",,CEUTA /HELIPUERTO,7.513,"-3,8%","9,7%",,CÓRDOBA,0,---,---
,LEÓN,62.115,"-2,2%","-5,9%",,AEROPUERTO INTL. REGIÓN MURCIA (**),7.140,"6,6%","-10,5%",,FGL GRANADA-JAÉN,0,"-100,0%","-100,0%"
,ALGECIRAS /HELIPUERTO,33.762,"-18,6%","-10,5%",,VALLADOLID,6.602,"1,0%","16,4%",,HUESCA-PIRINEOS,0,---,---
,SALAMANCA,20.215,"-4,2%","13,8%",,EL HIERRO,6.404,"4,5%","19,2%",,JEREZ DE LA FRONTERA,0,"-100,0%","-100,0%"
,LOGROÑO,18.632,"11,2%","-4,2%",,SAN SEBASTIÁN,6.015,"-2,3%","-7,1%",,LEÓN,0,---,---
,SON BONET,9.864,"-1,3%","139,3%",,PAMPLONA,5.839,"8,9%","-4,8%",,LOGROÑO,0,---,---
,CÓRDOBA,8.474,"42,3%","-20,8%",,LA GOMERA,3.793,"-4,0%","33,4%",,MADRID-CUATRO VIENTOS,0,---,---
,SABADELL,6.567,"5,8%","29,6%",,BADAJOZ,3.448,"10,3%","19,7%",,REUS,0,---,---
,BURGOS,2.495,"-38,5%","-85,9%",,LEÓN,3.268,"0,6%","18,5%",,SABADELL,0,---,---
,ALBACETE,2.115,"-20,1%","30,9%",,ALGECIRAS /HELIPUERTO,2.728,"-20,3%","-18,0%",,SALAMANCA,0,---,---
,MADRID-CUATRO VIENTOS,1.480,"-24,0%","-58,5%",,HUESCA-PIRINEOS,1.743,"30,5%","-81,1%",,SAN SEBASTIÁN,0,"-100,0%","-100,0%"
,HUESCA-PIRINEOS,482,"74,6%","-22,5%",,ALBACETE,803,"13,6%","43,1%",,SON BONET,0,---,---
,MURCIA-SAN JAVIER,0,---,"-100,0%",,MURCIA-SAN JAVIER,0,---,"-100,0%",,MURCIA-SAN JAVIER,0,---,---
,Total aeropuertos españoles,309.371.619,"9,2%","12,4%",,Total aeropuertos españoles,2.590.962,"7,8%","9,7%",,Total aeropuertos españoles,1.280.332.770,"18,6%","19,7%"
,,,,,,,,,,,,,,
,SÃO PAULO/CONGONHAS,23.130.523,"4,5%","2,0%",,SÃO PAULO/CONGONHAS,234.538,"1,6%","8,0%",,SÃO PAULO/CONGONHAS,42.574.301,"17,2%","-25,9%"
,CAMPO GRANDE ,1.532.499,"0,4%","-0,6%",,UBERLÂNDIA ,21.529,"0,6%","-10,5%",,SANTARÉM ,2.984.057,"15,0%","2,4%"
,UBERLÂNDIA ,1.034.520,"-6,3%","-11,0%",,CAMPO GRANDE ,16.188,"-3,2%","-10,2%",,CAMPO GRANDE ,2.668.903,"11,7%","-30,3%"
,SANTARÉM ,523.670,"17,9%","1,8%",,SANTARÉM ,11.125,"-9,0%","6,4%",,MARABÀ,1.252.608,"23,3%","19,1%"
,MARABÀ,378.755,"1,6%","31,0%",,MONTES CLAROS,9.938,"-0,6%","30,6%",,UBERLÂNDIA ,1.083.902,"-0,3%","-42,5%"
,MONTES CLAROS,355.203,"6,2%","56,0%",,UBERABA ,6.898,"12,8%","17,0%",,CARAJÀS ,639.767,"4,8%","51,7%"
,CARAJÀS ,216.803,"21,9%","32,1%",,MARABÀ,6.879,"-1,4%","13,3%",,ALTAMIRA,272.933,"5,4%","28,9%"
,ALTAMIRA,102.548,"11,3%","4,3%",,CARAJÀS ,5.213,"23,2%","30,1%",,MONTES CLAROS,266.986,"2,8%","17,2%"
,UBERABA ,100.255,"22,0%","11,6%",,CORUMBÁ,4.700,"178,8%","158,0%",,UBERABA ,142.376,"46,4%","24,6%"
,PONTA PORÃ,40.328,"-43,0%","930,6%",,PONTA PORÃ,2.796,"-11,0%","20,4%",,CORUMBÁ,68.256,"-40,1%","-17,2%"
,CORUMBÁ,27.901,"-22,1%","-23,0%",,ALTAMIRA,2.626,"14,7%","-10,9%",,PONTA PORÃ,50.177,"2,7%",---
,Total BOAB,27.443.005,"4,1%","2,4%",,Total BOAB,322.430,"2,1%","7,3%",,Total BOAB,52.004.266,"16,1%","-23,7%"
,RECIFE,9.593.804,"6,1%","11,5%",,RECIFE,91.314,"8,0%","12,5%",,RECIFE,48.175.400,"9,0%","6,1%"
,MACEIÓ,2.687.790,"14,2%","27,4%",,MACEIÓ,24.353,"13,3%","33,8%",,JOAO PESSOA,3.672.737,"30,1%","-22,2%"
,JOAO PESSOA,1.605.805,"12,2%","21,3%",,JOAO PESSOA,15.584,"17,2%","21,2%",,MACEIÓ,3.441.186,"0,8%","19,4%"
,ARACAJU,1.286.300,"9,4%","14,4%",,ARACAJU,14.579,"21,9%","2,8%",,ARACAJU,2.234.202,"28,3%","-17,0%"
,JUAZEIRO DO NORTE,498.978,"2,9%","-7,7%",,JUAZEIRO DO NORTE,7.534,"6,6%","3,7%",,JUAZEIRO DO NORTE,735.895,"25,7%","-32,9%"
,CAMPINA GRANDE,260.294,"15,0%","83,2%",,CAMPINA GRANDE,5.120,"23,9%","86,5%",,CAMPINA GRANDE,540.804,"-6,5%","34,0%"
,Total ANB,15.932.971,"8,3%","15,1%",,Total ANB,158.484,"11,2%","16,2%",,Total ANB,58.800.224,"10,2%","2,8%"
,Total aeropuertos brasileños,43.375.976,"5,6%","6,7%",,Total aeropuertos brasileños,480.914,"5,0%","10,1%",,Total aeropuertos brasileños,110.804.490,"12,9%","-11,6%"
,,,,,,,,,,,,,,
,LONDRES-LUTON,16.735.984,"3,3%","-7,0%",,LONDRES-LUTON,131.972,"2,7%","-6,7%",,LONDRES-LUTON,30.666.833,"17,8%","-16,9%"
,,,,,,,,,,,,,,
,Total Red Aena,369.483.579,"8,5%","10,7%",,Total Red Aena,3.203.848,"7,1%","9,0%",,Total Red Aena,1.421.804.093,"18,1%","15,4%"
,,,,,,,,,,,,,,
," Todos los datos son sobre el total.
- Sin tráfico el año anterior",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,(*).- LA INFORMACION DEL AEROPUERTO MURCIA-SAN JAVIER COMPRENDE DESDE EL DIA 1 AL 14 DE ENERO DE 2019. DESDE EL DIA 15 DE ENERO DE 2019 ESTE AEROPUERTO DEJÓ DE OPERAR.,,,,,,,,"El total de pasajeros del aeropuerto de Londres-Luton solo incluye los pasajeros comerciales, excluyendo los niños menores de 2 años",,,,,
,(**).- EL AEROPUERTO INTL. REGION MURCIA EMPEZÓ A OPERAR DESDE EL DIA 15 DE ENERO DE 2019.,,,,,,,,Los datos de mercancía del aeropuerto de Londres-Luton incluye carga y correo,,,,,